feature,importance,mean_shap_value
pace_t-3_5:43,1.4112783e-06,1.4112783e-06
"30d_avg_pace_6'02""",1.3933752e-06,-1.3933752e-06
pace_t-3_6:14,1.326611e-06,-1.326611e-06
"pace_previous_9'40""",1.2714172e-06,-1.2714172e-06
"pace_diff_0'22""",1.2695006e-06,-1.2695006e-06
"pace_previous_8'07""",1.2351127e-06,1.2351127e-06
"30d_avg_pace_8'06""",1.2228498e-06,-1.2228498e-06
pace_t-2_5:50,1.1816999e-06,-1.1816999e-06
pace_t-2_6:11,1.1287767e-06,-1.1287767e-06
"pace_previous_9'16""",1.0767258e-06,-1.0767258e-06
"pace_previous_6'07""",1.0201339e-06,-1.0201339e-06
"pace_previous_6'08""",9.849747e-07,9.849747e-07
pace_t-3_8:01,9.5251096e-07,9.5251096e-07
"pace_previous_7'47""",7.023301e-07,-7.023301e-07
"7d_avg_pace_5'48""",6.967361e-07,-6.967361e-07
"pace_diff_-0'56""",5.8334035e-07,5.8334035e-07
pace_t-4_5:25,0.0,0.0
"30d_avg_pace_8'44""",0.0,0.0
pace_t-3_6:34,0.0,0.0
pace_t-3_6:37,0.0,0.0
pace_t-4_5:46,0.0,0.0
pace_t-4_5:47,0.0,0.0
pace_t-4_5:48,0.0,0.0
pace_t-3_6:35,0.0,0.0
pace_t-3_6:25,0.0,0.0
pace_t-3_6:26,0.0,0.0
pace_t-4_5:50,0.0,0.0
pace_t-4_5:33,0.0,0.0
pace_t-4_5:28,0.0,0.0
pace_t-3_6:24,0.0,0.0
"30d_avg_pace_8'40""",0.0,0.0
pace_t-3_6:23,0.0,0.0
pace_t-4_5:29,0.0,0.0
"30d_avg_pace_8'47""",0.0,0.0
"30d_avg_pace_8'37""",0.0,0.0
pace_t-4_5:31,0.0,0.0
pace_t-3_6:33,0.0,0.0
pace_t-3_6:36,0.0,0.0
pace_t-4_5:21,0.0,0.0
pace_t-4_5:35,0.0,0.0
pace_t-4_5:24,0.0,0.0
pace_t-4_5:39,0.0,0.0
"30d_avg_pace_9'22""",0.0,0.0
pace_t-3_6:22,0.0,0.0
pace_t-4_5:23,0.0,0.0
pace_t-4_5:30,0.0,0.0
pace_t-3_6:30,0.0,0.0
"30d_avg_pace_9'30""",0.0,0.0
pace_t-4_5:27,0.0,0.0
pace_t-4_5:40,0.0,0.0
"30d_avg_pace_8'46""",0.0,0.0
pace_t-4_5:37,0.0,0.0
pace_t-3_6:28,0.0,0.0
pace_t-3_6:32,0.0,0.0
pace_t-3_6:27,0.0,0.0
pace_t-4_5:36,0.0,0.0
"30d_avg_pace_8'45""",0.0,0.0
pace_t-4_5:22,0.0,0.0
pace_t-4_5:43,0.0,0.0
pace_t-4_5:38,0.0,0.0
pace_t-3_7:11,0.0,0.0
"30d_avg_pace_9'33""",0.0,0.0
"30d_avg_pace_8'24""",0.0,0.0
pace_t-4_7:03,0.0,0.0
pace_t-4_7:01,0.0,0.0
pace_t-4_7:00,0.0,0.0
pace_t-4_6:59,0.0,0.0
pace_t-4_6:57,0.0,0.0
pace_t-4_6:56,0.0,0.0
pace_t-4_6:55,0.0,0.0
pace_t-4_6:54,0.0,0.0
"30d_avg_pace_9'41""",0.0,0.0
"30d_avg_pace_8'36""",0.0,0.0
pace_t-4_6:51,0.0,0.0
pace_t-4_6:50,0.0,0.0
pace_t-3_6:16,0.0,0.0
pace_t-4_6:47,0.0,0.0
pace_t-4_6:46,0.0,0.0
pace_t-4_6:44,0.0,0.0
"30d_avg_pace_9'40""",0.0,0.0
pace_t-4_6:42,0.0,0.0
pace_t-4_7:05,0.0,0.0
pace_t-4_7:07,0.0,0.0
pace_t-4_7:10,0.0,0.0
pace_t-4_7:11,0.0,0.0
pace_t-4_7:32,0.0,0.0
pace_t-4_7:31,0.0,0.0
pace_t-4_7:30,0.0,0.0
pace_t-4_7:29,0.0,0.0
pace_t-4_7:28,0.0,0.0
pace_t-4_7:27,0.0,0.0
pace_t-4_7:26,0.0,0.0
pace_t-3_6:15,0.0,0.0
pace_t-4_7:25,0.0,0.0
pace_t-4_7:24,0.0,0.0
pace_t-4_7:21,0.0,0.0
pace_t-4_7:20,0.0,0.0
pace_t-4_7:19,0.0,0.0
pace_t-4_7:16,0.0,0.0
pace_t-4_7:15,0.0,0.0
pace_t-4_7:13,0.0,0.0
pace_t-4_7:12,0.0,0.0
pace_t-4_6:41,0.0,0.0
pace_t-4_6:40,0.0,0.0
pace_t-4_6:39,0.0,0.0
pace_t-4_6:17,0.0,0.0
pace_t-4_6:15,0.0,0.0
"30d_avg_pace_8'30""",0.0,0.0
"30d_avg_pace_8'31""",0.0,0.0
pace_t-4_6:12,0.0,0.0
pace_t-4_6:11,0.0,0.0
pace_t-4_6:10,0.0,0.0
pace_t-4_6:09,0.0,0.0
pace_t-4_6:08,0.0,0.0
pace_t-4_6:07,0.0,0.0
pace_t-4_5:19,0.0,0.0
pace_t-4_6:05,0.0,0.0
pace_t-3_6:19,0.0,0.0
pace_t-3_6:20,0.0,0.0
"30d_avg_pace_8'34""",0.0,0.0
pace_t-4_6:01,0.0,0.0
pace_t-4_6:00,0.0,0.0
pace_t-4_5:59,0.0,0.0
pace_t-4_6:16,0.0,0.0
pace_t-4_6:18,0.0,0.0
"30d_avg_pace_8'26""",0.0,0.0
pace_t-3_6:17,0.0,0.0
pace_t-4_6:37,0.0,0.0
pace_t-4_6:36,0.0,0.0
"30d_avg_pace_9'36""",0.0,0.0
pace_t-4_6:34,0.0,0.0
pace_t-4_6:33,0.0,0.0
pace_t-4_6:32,0.0,0.0
